w	u	Haus	Whg	Kreditor	Buchungstext	Rg.datum	Buch.datum	Betrag	Rg.text
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers. Nr. 01698766F001 Haus- und Grundbesitzerhaftpflicht		2021-01-08	-148,77	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	206002088973 Abschlag Wasser 		2021-01-08	-337,00	
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 -- ILL_Eich	2021-01-15		-38,45	
	u	NK_Kleist	kleist_alle	Saarland Feuerversicherung	Vers. Nr. 07858236F001		2021-01-08	-1104,17	
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686  -- SB_Kaiser	2021-01-22	2021-02-02	12,79	Rückzahlung Guthabensss
	u	SB_Kaiser	scheidt_alle	Öl Schneider	Öl für SB Kaiser		2021-01-04	-2130,54	Rg 609078
	u	ILL_Eich	eich_alle	energis	Abschlag 2115269195 -- ILL_Eich		2021-01-22	-69,68	
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 ILL_Eich		2021-01-25	-38,45	
		SB_Hohenzoll	hohenzoll	Hotel Madeleine, SB, Cecilienstr. 5	Übernachtung	2021-02-02		-179,20	Besichtigung d. Wohnung Abazid
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6612165891 -- ILL_Eich	2021-02-03		-46,90	Schlussrechnung 2020
w		OTW_Linx	linx	Heizung Urbanke	Reparatur Gastherme		2021-02-03	-157,43	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	206002088973 Wasser / Abwasser  -- SB_Kaiser	2021-01-25	2021-02-08	-796,97	Schlussrechnung 2020 Wasser/Abwasser
w		SB_Hohenzoll	hohenzoll	Wilfried Küss	Rolladengurt-Reparatur	2021-02-06	2021-02-09	-145,18	
	u	ILL_Eich	eich_alle	energis	Abschlag 2115269195		2021-02-01	-32,00	
	u	*OTW_Alle*	linx_und_schwalbe	Stadt Ottweiler	PK: 11.20083.0 Grundsteuer OTW_Schwalbe u. OTW_Linx gemeinsam		2021-02-15	-98,15	
	u	Rülzheim	ruelz	Verbandsgemeinde Rülzheim	Grundsteuer A Veranlagg 2021		2021-02-15	-53,43	
	u	SB_Kaiser	scheidt_alle	ZKE	Objektnummer 2007622002 -- SB_Kaiser		2021-02-15	-788,31	1. Rate 2021 Abfall, Abwasser, Straßenreinigg
	u	ILL_Eich	eich_alle	Zweckverband Gaswerk Illingen	Jahresabrechnung		2021-02-15	916,49	Rg 29.01.21 -- Jahresabrechnung 2020
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers.Nr. 08946837F002		2021-02-15	270,08	
w		ILL_Eich	eich_2	Gröschel	Renovierung	2021-02-15	2021-02-15	-11900,00	Rg. 700: 1. Abschlagszahlung
	u	ILL_Eich	eich_alle	Gemeinde Illingen	Gemeindesteuern		2021-01-15	-130,78	
	u	ILL_Eich	eich_alle	Wasserversorgung Ostsaar	EREF: DTA1932-82940000 MREF: SEPA-C-026347		2021-01-15	-279,33	
	u	HOM_Remigius	remigius	Kreisstadt Homburg	Grundsteuer		2021-01-16	-58,12	
	u	RI_Lampennester	lampennest	Gemeinde Riegelsberg	Grundsteuer  		2021-01-16	-32,76	
	u	NK_Kleist	kleist_alle	Saarland Feuerversicherung	HAFT HE-1020-4766		2021-01-17	-178,13	
w		ILL_Eich	eich_2	Laux	Klempnerrechnung	2021-02-15	2021-02-18	-600,55	Waschbecken mit Hahn; Eckventile; Wasseruhr im Keller f. Gartenwasser; Wasseruhr am Klo ausgebaut
	u	NK_Kleist	kleist_alle	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-01-15	-165,00	
w		OTW_Schwalbe	schwalbe	ebay	Rauchmelder		2021-02-19	-36,08	gekauft und eingebaut von H. Engelhardt
	u	NK_Kleist	kleist_alle	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-02-15	-165,00	
w		SB_Hohenzoll	hohenzoll	VWT	Heizkörper überprüft	2021-02-22	2021-02-24	-92,11	
		ILL_Eich	eich_2	immoscout	Annonce	2021-02-27		-109,90	Vermietungsannonce DG-Wohnung nach Gröschel-Renovierung. Abgebucht von DKB-Konto
	u	SB_Hohenzoll	hohenzoll	Landeshauptstadt Saarbrücken	Grundsteuer		2021-02-25	-16,65	
	u	SB_Gruelings	gruelings	Landeshauptstadt Saarbrücken	Grundsteuer B		2021-02-25	-40,61	
		SB_Kaiser	scheidt_alle	Landeshauptstadt Saarbrücken	Grundsteuer		2021-02-25	-550,55	
	u	SB_Charlotte	charlotte	Landeshauptstadt Saarbrücken	Grundsteuer B		2021-02-25	-52,02	
	u	BUEB_Saargemuend	bueb	Landeshauptstadt Saarbrücken	Grundsteuer		2021-02-25	-67,99	
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 -- ILL_Eich		2021-02-25	-38,45	
	u	ILL_Eich	eich_alle	Zweckverband Gaswerk Illingen	301442, 601451		2021-03-01	-269,00	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	Kd.Nr. 206002088973 - Wasser / Abwasser  -- SB_Kaiser		2021-02-25	-377,00	
		**alle**	**alle**	amazon	Visitenkarten	2021-02-28		-19,80	
w		ILL_Eich	eich_2	Gröschel	Renovierung	2021-03-02	2021-03-02	-9447,89	Rg. 704
		ILL_Eich	eich_2	FeWo ILL Ringstr. 25a	Übernachtung wg. Grundreinigung / Termin Mietinteressent	2021-03-04		-65,00	VISA
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers.Nr. 08946837F002		2021-03-03	136,05	
	u	ILL_Eich	eich_alle	energis	Abschlag/RechnungVK 2115269195		2021-03-01	-32,00	
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686 -- SB_Kaiser		2021-03-01	-69,00	
w		SB_Kaiser	scheidt_alle	Jastrzebski	Wasserrohrbruch	2021-03-03	2021-03-05	-741,50	im Keller von Mironov/Ott
w		ILL_Eich	eich_2	amazon	Bad Wandleuchte	2021-03-06		-45,60	2 Stück
w		ILL_Eich	eich_2	amazon	Bad Spiegel	2021-03-06		-74,90	
	u	**alle**	**alle**	Post	Briefmarken	2021-03-08		-25,50	
	u	NK_Zweibrueck	zweibrueck	EVS Abfall	BNR 6611020394		2021-03-08	-25,48	von Konto B1 .001
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6612165891 -- ILL_Eich		2021-03-08	-46,90	von Kto B1 .001
	u	NK_Kleist	kleist_alle	EVS Abfall	BNR 6610958248		2021-03-08	-220,05	von B1 Kto .018
		ILL_Eich	eich_2	Aab Türnotöffnungen	Wohnungstür öffnen lassen	2021-03-10		-174,93	Schlüssel in Schellenberg vergessen. Barzahlung
	u	SB_Kaiser	scheidt_alle	Thermomess	Rechnung Abrechnungsdienste -- SB_Kaiser	2021-02-11	2021-03-12	-25,70	Renr 21427068; in der Thermomess-Abrechng 2020 enthalten
w		SB_Kaiser	scheidt_22	Ledig & Szymanski	Fensterreparatur	2021-03-10	2021-03-12	-198,85	Badfenster und Balkontür gängig gemacht
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6613768974		2021-03-15	-102,65	
	u	*NK_Alle*		Kreisstadt Neunkirchen	PK: 00.01365.2		2021-03-15	-753,07	Grundsteuer, Straßenreinigung, Oberflächenwasser
	u	ILL_Eich	eich_alle	techem	Abrechnungsservice 	2021-03-06	2021-03-14	-298,75	Ablesung 2020
w		ILL_Eich	eich_2	amazon	Bad Handtuchhalter, Handtuchhaken	2021-03-06		-50,98	
		N_WilhelmMarx	wilhelmmarx	Engelhardt Sanitär	Reparatur	2021-03-17	2021-03-19	-269,54	Wasserhahn für Waschmaschine repariert
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Haftpflicht HE-1021-3034		2021-03-22	-337,85	
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers. Nr. 01698766H002-- SB_Kaiser		2021-03-17	53,63	Abschluss des alten Haftpflichtvertrags von Albert
		SB_Kaiser	scheidt_alle	Saarland Feuerversicherung	Vers. Nr. 01698766F001 Haus- und Grundbesitzerhaftpflicht		2021-03-17	130,58	Abschluss der alten Gebäudeversicherung von Albert
w		NK_Kleist	kleist_12	martin	Klempnerarbeiten	2021-03-22	2021-03-24	-135,72	Küchenabfluss abgedichtet, Badweannenablauf  mit Rohrgranate bearbeitet.
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 -- ILL_Eich		2021-03-25	-38,45	
	u	NK_Zweibrueck	zweibrueck	EVS Abfall	Bescheidnummer 2021152513346	2021-03-24	2021-03-25	-135,40	Das ist die Jahresgebühr statt 4 Einzelzahlungen je 33,85
w		N_Mendel_8	mendel_8	Amazon	Wohnungszubehör	2021-03-24	2021-03-24	-54,85	Rauchmelder, Schneckendübel, Montagekleber, Gipskartondübel
	u	**alle**	**alle**	Post	Einschreiben, Briefmarken etc.	2021-03-22		-7,55	BAR - Einschreiben an Zeiger u. AG Germersheim, Briefmarke für DIN A4 - Umschlag an Nickl (KEW-Rechnungen)
w		SB_Kaiser	scheidt_01	Jastrzebski	Badrenovierung	2021-03-25	2021-03-31	-11736,54	Bad Decker neu gemacht
	u	ILL_Eich	eich_alle	energis	BN 21002145598 Allgemeinstrom eich	2021-03-26	2021-03-31	-32,86	Abrechnung 12.12.20 bis 28.2.21
w		ILL_Eich	eich_2	OBI	Kleinteile	2021-03-31		-30,84	Spiegelaufhängung, Lack f. Mülltonnenbeschriftung, Pinsel (VISA)
	u	ILL_Eich	eich_alle	energis	Abschlag Allgemeinstrom eich Kd.Kto 2197565716		2021-04-01	-32,00	
	u	ILL_Eich	eich_0	Zweckverband Gaswerk Illingen	301442, 601451		2021-04-01	-269,00	Abschlag 01
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686 -- SB_Kaiser		2021-04-01	-69,00	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	Kd.Nr. 206002088973 - Wasser / Abwasser  -- SB_Kaiser		2021-04-01	-377,00	
	u	ILL_Eich	eich_0	Wasserversorgung Ostsaar	Kd.Nr. 608158 -- Verbr.stellen-Nr. 18478		2021-04-01	-261,00	
	u	NK_Kleist	kleist_alle	Ralf Walter	Schlotfeger		2021-04-07	-245,19	Rg 21/00345
		**alle**	**alle**	Bank1	Kontoführung		2021-03-31	-62,70	Konto 1x001
w		SB_Kaiser	scheidt_alle	Jastrzebski	Wasserrohrbruch	2021-04-03	2021-04-08	-217,65	Wasserrohrbruch und Störung Heizungsanlage
		**alle**	**alle**	Bank1	Kontoführung		2021-03-31	-53,70	Konto 1x018
		**alle**	**alle**	Haus und Grund	Beitrag		2021-04-01	-15,75	1x001
		BUEB_Saargemuend	bueb	Energie SaarLorLux	Abrechnung	2021-04-09	2021-04-14	-7,84	Rg 705 902 409 686
	u	NK_Kleist	kleist_alle	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-04-15	-165,00	
		SB_Kaiser	scheidt_21	Thermomess	Rechnung Abrechnungsdienste -- SB_Kaiser	2021-04-14	2021-04-16	-108,05	Austausch Warmwasserzähler im Rahmen Badrenovierung
		NK_Kleist	kleist_31	Post	Einschreiben	2021-04-19		-3,00	Aufforderung Schweig zur Badreinigung vor Wannen-/fliesenreparatur
		OTW_Linx	linx	energis	Strom  u. Gas wg. Leerstand		2021-04-22	-26,00	Strom: 11 EUR; Gas: 15 EUR
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 -- ILL_Eich		2021-04-26	-38,45	
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6613768974		2021-04-27	-166,41	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	Kd.Nr. 206002088973 - Wasser / Abwasser  -- SB_Kaiser		2021-05-03	-377,00	
	u	ILL_Eich	eich_alle	energis	Abschlag Allgemeinstrom eich Kd.Kto 2197565716		2021-05-03	-32,00	
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686 -- SB_Kaiser	2021-05-03	2021-05-03	-69,00	
	u	ILL_Eich	eich_alle	Zweckverband Gaswerk Illingen	301442, 601451		2021-05-03	-269,00	
	u	SB_Kaiser	scheidt_alle	Öl Schneider	Öl für SB Kaiser	2021-04-23	2021-05-03	-4382,50	
		NK_Kleist	kleist_31	Post	Einschreiben	2021-05-03		-3,00	Einschreiben Schweig wg Whg-Zustand
w	u	N_Mendel_8	mendel_8	SK+ TGM GmbH	Wartung Gastherme	2021-05-05	2021-05-07	-220,45	
w		NK_Kleist	kleist_31	Zewe	Trocknung nach Wasserrohrbruch	2021-04-30	2021-05-07	-416,50	
		SB_Hohenzoll	hohenzoll	LBS Gutachter GmbH	Wertgutachten / Verkehrswertermittlung	2021-04-26	2021-05-07	-273,70	
		OTW_Linx	linx	FeWo kleine Auszeit NK 	Übernachtung		2021-04-13	-49,14	Wohnungsübergabe; geplante Whg-besichtigung Schweig wurde von ihm abgesagt
		SB_Hohenzoll	hohenzoll	frag-einen-anwalt	online Rechtsberatung	2021-05-09		-65,00	DKB --- Diskrepanz Verkehrswert in ErbSt-Erkl. und Verkaufswert
		OTW_Linx	linx	Hotel Stadt Hamburg Saarbrücken	Übernachtung	2021-05-14	2021-05-15	-95,00	DKB/VISA -- Wohnungsverkauf Linx: Besichtigungstermin; Balkonschaden Langley begutachten
		OTW_Linx	linx	Werkzeug	Feuchtigkeitsmesser	2021-05-12	2021-05-15	-69,90	Messung der Schlafzimmer-Außenwand
w		SB_Hohenzoll	hohenzoll	VWT	Undichtigkeit behoben	2021-04-30	2021-05-17	-538,53	
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6613768974		2021-05-17	-102,65	
	u	ILL_Eich	eich_alle	EVS Abfall	BNR 6613768974		2021-05-17	-166,41	
	u	NK_Kleist	kleist_01	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-05-17	-165,00	
	u	RI_Lampennester	lampennest	Gemeinde Riegelsberg	Grundsteuer  		2021-05-17	-31,00	
	u	*OTW_Alle*	linx_und_schwalbe	Stadt Ottweiler	PK: 11.20083.0 Grundsteuer OTW_Schwalbe u. OTW_Linx gemeinsam		2021-05-17	-98,16	
	u	SB_Charlotte	charlotte	Landeshauptstadt Saarbrücken	Grundsteuer B		2021-05-17	-52,02	
	u	SB_Gruelings	gruelings	Landeshauptstadt Saarbrücken	Grundsteuer B		2021-05-17	-40,61	
	u	SB_Hohenzoll	hohenzoll	Landeshauptstadt Saarbrücken	Grundsteuer		2021-05-17	-16,65	
		SB_Kaiser	scheidt_alle	Landeshauptstadt Saarbrücken	Grundsteuer		2021-05-17	-550,55	
	u	BUEB_Saargemuend	bueb	Landeshauptstadt Saarbrücken	Grundsteuer		2021-05-17	-67,99	
	u	*NK_Alle*		Kreisstadt Neunkirchen	PK: 00.01365.2		2021-05-17	-753,07	
		Rülzheim	ruelz	Verbandsgemeinde Rülzheim	Grundsteuer A Veranlagg 2020		2021-05-17	-53,40	
	u	SB_Kaiser	scheidt_alle	ZKE	Objektnummer 2007622002 -- SB_Kaiser		2021-05-17	-669,45	2. Rate 2021 Abfall, Abwasser, Straßenreinigg
w		NK_Kleist	kleist_31	Frantz	Rohrschaden	2021-05-14	2021-05-18	-850,45	Wohnung Schweig
	u	HOM_Remigius	remigius	Kreisstadt Homburg	Grundsteuer		2021-05-18	-58,12	
		NK_Ww224	ww224	Hotel Goethe Ottweiler	Übernachtung	2021-05-20		-75,00	DKB Visa -- Sonder-ETV Ww224 Balkonschaden
		NK_Kleist	kleist_31	Saarland Feuerversicherung	Wasserschadenersatz		2021-05-26	1266,95	Erstattung Rechnungen Zewe und Frantz; Badewanne ist noch nicht eingebaut
	u	ILL_Eich	eich_alle	Vodafone Kabel Dtld	V-Nr. 750135895 / K-Nr. 708044581-1 -- ILL_Eich		2021-05-27	-38,45	
w		SB_Kaiser	scheidt_alle	Jastrzebski	Wasserrohrbruch Heizung		2021-05-31	-140,77	
	u	SB_Kaiser	scheidt_alle	Stadtwerke Saarbrücken Netz AG	Kd.Nr. 206002088973 - Wasser / Abwasser  -- SB_Kaiser		2021-06-01	-377,00	
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686  -- SB_Kaiser		2021-06-01	-69,00	
	u	ILL_Eich	eich_alle	Zweckverband Gaswerk Illingen	301442, 601451		2021-06-01	-269,00	
	u	ILL_Eich	eich_alle	energis	Abschlag Allgemeinstrom eich Kd.Kto 2197565716		2021-06-01	-32,00	
	u	ILL_Eich	eich_alle	Wasserversorgung Ostsaar	Kd.Nr. 608158 -- Verbr.stellen-Nr. 18478		2021-06-01	-261,00	
w		NK_Kleist	kleist_alle	Frantz	Wasseranlage Haus	2021-05-28	2021-06-03	-928,88	Einbau Hauswasserstation
w		NK_Kleist	kleist_11	Emmrich	Maler-/Trockenbauarbeiten	2021-05-31	2021-06-03	-693,18	Reparatur Deckenloch verursacht durch Rohrbruch in kleist_31
	u	SB_Kaiser	scheidt_alle	Energie SaarLorLux	VkNr.: 2120174686 -- SB_Kaiser		2021-01-04	-65,00	
	u	BUEB_Saargemuend	bueb	Energie SaarLorLux	Abrechnung		2021-08-18	-111,00	
		NK_Volkerstal	volkerstal	Voltmer	Vermittlung Volkerstal		2021-08-04	-566,00	
	u	ILL_Eich	eich_0	EVS Abfall	BNR 6612165891		2021-08-23	-558,00	
		NK_Kleist	kleist_01	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-01-14	-100,00	
		NK_Kleist	kleist_01	KEW	10024818  893437 (Kleist allgemein Strom und Wasser)		2021-10-14	-100,00	bdgafrfafqare
	u	OTW_Linx	linx	Stadt Ottweiler	Grundsteuer		2021-10-11	-177,00	
	u	NK_Kleist	kleist_alle	EVS Abfall	Abfall Endabrechnung 2019 Nachzahlung		2021-10-15	-100,00	
	u	NK_Kleist	kleist_01	Frantz	Rohrschaden		2021-10-15	-199,00	
	u	Rülzheim	ruelz	Verbandsgemeinde Rülzheim	Grundsteuer A Veranlagg 2020		2021-10-16	-122,00	
